
Hello world from worker
{'generation': 22, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.39999999999998, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 23, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.8, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -68.76666666666667, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 24, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -69.26666666666667, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 25, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.83333333333334, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -68.76666666666667, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 26, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -70.2, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 27, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -70.63333333333334, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 28, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.76666666666667, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -68.76666666666667, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 29, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -69.66666666666669, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 30, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -69.16666666666669, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 31, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.76666666666667, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 32, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.83333333333334, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -69.06666666666666, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 33, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -69.06666666666666, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -69.06666666666666, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 34, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -68.8, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 35, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -68.8, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 36, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -69.16666666666669, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 37, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 38, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 39, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.86666666666665, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -68.73333333333333, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 40, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 41, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.9, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -7.699999999999989, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 42, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.9, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 43, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.9, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 44, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.9, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 45, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.9, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -102.7, 'goal_reaches': 0, 'wall_pass': 0}
