episode,timestep,reward
88,2000,-200.0
152,4000,-200.0
190,6000,-200.0
210,8000,-195.005
221,10000,-190.9182
228,12000,-142.9143
235,14000,-171.4571
243,16000,-187.5125
251,18000,-187.5125
257,20000,-166.7
265,22000,-187.5125
272,24000,-185.7286
278,26000,-200.0
284,28000,-183.35
289,30000,-180.02
296,32000,-200.0
301,34000,-200.0
305,36000,-175.025
310,38000,-180.02
314,40000,-175.025
317,42000,-166.7
321,44000,-125.075
324,46000,-200.0
327,48000,-200.0
332,50000,-180.02
336,52000,-125.075
340,54000,-175.025
348,56000,-162.5375
356,58000,-187.5125
361,60000,-200.0
369,62000,-187.5125
373,64000,-150.05
376,66000,-166.7
381,68000,-140.06
384,70000,-133.4
388,72000,-125.075
