episode,timestep,reward
7,2000,-200.0
16,4000,-188.9
22,6000,-166.7
29,8000,-171.4571
35,10000,-166.7
41,12000,-183.35
45,14000,-150.05
50,16000,-200.0
53,18000,-133.4
59,20000,-166.7
65,22000,-183.35
70,24000,-180.02
75,26000,-200.0
80,28000,-140.06
86,30000,-166.7
91,32000,-160.04
96,34000,-140.06
99,36000,-133.4
103,38000,-175.025
106,40000,-166.7
111,42000,-140.06
114,44000,-100.1
118,46000,-200.0
121,48000,-200.0
123,50000,-100.1
128,52000,-140.06
132,54000,-125.075
137,56000,-140.06
141,58000,-125.075
146,60000,-120.08
151,62000,-120.08
154,64000,-166.7
157,66000,-100.1
160,68000,-66.8
163,70000,-133.4
166,72000,-100.1
169,74000,-100.1
171,76000,-100.1
174,78000,-166.7
177,80000,-66.8
180,82000,-133.4
183,84000,-100.1
186,86000,-133.4
189,88000,-133.4
193,90000,-150.05
196,92000,-133.4
199,94000,-166.7
205,96000,-166.7
210,98000,-160.04
212,100000,-150.05
217,102000,-120.08
220,104000,-66.8
223,106000,-133.4
226,108000,-133.4
229,110000,-166.7
232,112000,-100.1
234,114000,-150.05
238,116000,-150.05
242,118000,-150.05
245,120000,-166.7
247,122000,-100.1
251,124000,-175.025
255,126000,-75.125
257,128000,-50.15
260,130000,-133.4
263,132000,-100.1
267,134000,-175.025
270,136000,-166.7
273,138000,-133.4
276,140000,-66.8
278,142000,-100.1
281,144000,-100.1
284,146000,-100.1
288,148000,-150.05
290,150000,-0.2
294,152000,-200.0
296,154000,-100.1
298,156000,-50.15
301,158000,-66.8
303,160000,-100.1
306,162000,-100.1
309,164000,-100.1
314,166000,-160.04
317,168000,-133.4
320,170000,-66.8
322,172000,-100.1
324,174000,-0.2
327,176000,-133.4
330,178000,-200.0
332,180000,-50.15
335,182000,-133.4
338,184000,-200.0
342,186000,-150.05
346,188000,-150.05
350,190000,-200.0
354,192000,-175.025
357,194000,-133.4
362,196000,-180.02
367,198000,-180.02
369,200000,-50.15
372,202000,-166.7
376,204000,-175.025
379,206000,-100.1
383,208000,-125.075
388,210000,-140.06
390,212000,-100.1
392,214000,-0.2
394,216000,-50.15
399,218000,-160.04
402,220000,-66.8
404,222000,-0.2
407,224000,-66.8
411,226000,-175.025
413,228000,-50.15
416,230000,-133.4
419,232000,-133.4
421,234000,-0.2
424,236000,-133.4
430,238000,-200.0
434,240000,-200.0
438,242000,-175.025
444,244000,-200.0
448,246000,-175.025
450,248000,-100.1
453,250000,-100.1
455,252000,-0.2
459,254000,-100.1
462,256000,-133.4
465,258000,-166.7
469,260000,-200.0
472,262000,-100.1
474,264000,-100.1
477,266000,-66.8
479,268000,-0.2
481,270000,-200.0
484,272000,-66.8
486,274000,-100.1
488,276000,-0.2
491,278000,-200.0
493,280000,-100.1
497,282000,-100.1
499,284000,-0.2
501,286000,-100.1
504,288000,-66.8
507,290000,-66.8
511,292000,-200.0
513,294000,-200.0
516,296000,-100.1
518,298000,-100.1
522,300000,-125.075
525,302000,-200.0
528,304000,-133.4
530,306000,-0.2
533,308000,-66.8
535,310000,-0.2
537,312000,-100.1
539,314000,-0.2
542,316000,-133.4
546,318000,-150.05
549,320000,-133.4
551,322000,-100.1
553,324000,-0.2
556,326000,-66.8
559,328000,-133.4
561,330000,-0.2
563,332000,-0.2
565,334000,-0.2
567,336000,-0.2
569,338000,-100.1
571,340000,-0.2
574,342000,-66.8
576,344000,-0.2
578,346000,-0.2
581,348000,-133.4
583,350000,-0.2
586,352000,-133.4
589,354000,-166.7
592,356000,-66.8
594,358000,-100.1
598,360000,-150.05
601,362000,-133.4
603,364000,-0.2
605,366000,-200.0
608,368000,-66.8
611,370000,-100.1
613,372000,-0.2
618,374000,-160.04
620,376000,-0.2
622,378000,-100.1
624,380000,-100.1
626,382000,-0.2
628,384000,-100.1
630,386000,-0.2
632,388000,-0.2
636,390000,-200.0
638,392000,-0.2
640,394000,-100.1
644,396000,-150.05
647,398000,-133.4
649,400000,-50.15
651,402000,-0.2
654,404000,-100.1
658,406000,-200.0
661,408000,-33.5
664,410000,-133.4
666,412000,-100.1
668,414000,-100.1
671,416000,-66.8
673,418000,-0.2
675,420000,-100.1
679,422000,-100.1
681,424000,-0.2
683,426000,-200.0
685,428000,-100.1
687,430000,-0.2
690,432000,-133.4
693,434000,-66.8
695,436000,-0.2
698,438000,-133.4
701,440000,-133.4
704,442000,-200.0
706,444000,-0.2
709,446000,-133.4
711,448000,-0.2
715,450000,-150.05
717,452000,-0.2
719,454000,-100.1
721,456000,-0.2
723,458000,-0.2
725,460000,-100.1
727,462000,-0.2
729,464000,-0.2
732,466000,-33.5
734,468000,-0.2
736,470000,-100.1
739,472000,-66.8
741,474000,-100.1
743,476000,-0.2
745,478000,-100.1
748,480000,-166.7
751,482000,-66.8
753,484000,-100.1
756,486000,-133.4
760,488000,-200.0
763,490000,-66.8
765,492000,-100.1
767,494000,-100.1
769,496000,-0.2
771,498000,-100.1
773,500000,-0.2
777,502000,-150.05
779,504000,-0.2
781,506000,-0.2
783,508000,-0.2
785,510000,-0.2
787,512000,-100.1
790,514000,-66.8
792,516000,-200.0
